Documento	Id
PF deflagra a Operação Overweight para combater o tráfico internacional de drogas em São Paulo	96
PF , em cooperação com autoridades bolivianas , viabiliza libertação de brasileira na Bolívia	97
PF apreende mais de 12 kg de cocaína	98
Polícia Federal entrega ao Museu Oscar Niemeyer obras apreendidas na Operação Vernissage	99
PF prende argentino procurado pela Interpol no Rio de Janeiro	100
PF e BPFRON apreendem carga 250 kg de agrotóxicos em Terra Roxa PR	101
PF cumpre mandados de prisão de foragidos da justiça que prestaram o Enem	102
PF investiga desvios de recursos públicos destinados ao combate da Covid - 19 no Piauí	103
Polícia Federal deflagra 79 Fase da Operação Lava Jato Operação Vernissage	104
PF combate lavagem de dinheiro no Distrito Federal e em Goiás	105
PF encontra diversos animais nativos em bagagem de passageiro que pretendia embarcar em voo para a Rússia	106
Polícia Federal prende foragido internacional no Aeroporto de Guarulhos	107
PF incinera 5 , 5 toneladas de drogas apreendidas no Porto de Santos	108
PF prende duas pessoas por comércio ilegal de armas de fogo em Roraima	109
PF prende suspeito de assaltos a agências dos Correios no Espírito Santo	110
PF identifica 409 crimes durante apurações da Operação Cai - Cai	111
PF atua em invasão à plataforma de petróleo em Angra RJ	112
Polícia Federal apreende carga de agrotóxicos contrabandeados e arma de fogo durante Operação Hórus em Cascavel - PR	113
Polícia Federal combate crime de moeda falsa no Rio Grande do Sul	114
PF apreende 25 mil micropontos da droga sintética NBOH em Varginha MG	115
Operação felos investiga fraudes em solicitações do Auxílio Emergencial no Acre	116
Polícia Federal deflagra Operação Despudor no Acre para investigar publicações de abusos sexuais de criança na internet	117
PF investiga esquema de venda de selos falsos no Mato Grosso	118
Polícia Federal combate desmatamento na Amazônia	119
PF prende traficante foragido no Rio de Janeiro	120
PF , em ação conjunta , apreende carregamento de cigarros contrabandeados	121
PF incinera 375 kg de substâncias entorpecentes no Rio Grande do Norte	122
PF prende suspeito de participar de vários roubos a agências dos Correios no Espírito Santo	123
PF deflagra duas operações simultâneas visando combater a disseminação de pornografia infantil Operação Help X e Operação Infância Resgatada	124
PF combate comércio ilegal de pássaros silvestres em Minas Gerais	125
PF , em ação conjunta , apreende carregamento com aproximadamente 400 mil maços de cigarros contrabandeados	126
PF combate prática de crimes previdenciários em Pernambuco	127
Polícia Federal prende mulheres com maconha na rodoviária de Foz do Iguaçu PR	128
PF deflagra a Operação Bad Trip , para desarticular grupo criminoso especializado no tráfico de ecstasy	129
PF combate crime eleitoral no Acre	130
Polícia Federal deflagra Operação Raposo para investigar furtos de dispositivos eletrônicos em rgão público paranaense	131
PF combate desvios de recursos públicos destinados ao combate à Covid - 19 no Piauí	132
PF prende 2 pessoas identificadas pela receita com droga dentro de embalagens de café e remédios	133
Polícia Federal cumpre mandado de prisão em desfavor de ex - prefeito municipal de cidade vizinha	134
PF prende em flagrante por estelionato homem condenado por divulgar pornografia infantil	135
PF prende , no Rio Grande do Norte , procurado pela Justiça de Goiás	136
PF apreende 100 kg de cocaína no Mato Grosso	137
PF , em ação conjunta , apreende cocaína no Rio Juruá	138
Polícia Federal desarticula grupo criminoso responsável por fraudes na concessão de Benefícios Previdenciários	139
Polícia Federal combate garimpo na Terra Indígena Yanomami .	140
PF prende , no Rio de Janeiro , solicitante de passaporte foragido desde 2011	141
Policiais apreendem essências de narguilé e cigarros eletrônicos na região da Vila Portes , em Foz do Iguaçu PR	142
Ação integrada de órgãos federais divulga resultados da Operação Resgate nesta quinta - feira	143
Policiais cumprem mandado de prisão na Ponte da Amizade	144
PF combate crime de moeda falsa no Rio Grande do Norte	145
PF deflagra a segunda fase da Operação Alcatraz , denominada Hemorragia	146
PF , em ação integrada , realiza nova apreensão de agrotóxicos	147
PF e PM apreendem 450 kg de agrotóxicos em Guaíra PR	148
PF apreende quase 8 kg de cocaína em São Paulo	149
Polícia Federal e Receita Federal apreendem 435 mil reais na fronteira com o Uruguai	150
Polícia Federal realiza prisão de destinatário de drogas pelos Correios	151
PF combate extração ilegal de minério de ouro no Pará	152
PF , no âmbito da Operação Hórus , apreende mais um carregamento de maconha	153
Polícia Federal deflagra Operação Cash Delivery para apurar prejuízo de 600 mil reais a clientes da Caixa Econômica Federal de Jaguarão RS	154
PF prende traficante holandês procurado pela Interpol no Rio de Janeiro	155
PF combate divulgação de pornografia infantojuvenil pela internet	156
PF extradita da Espanha procurada pela Interpol	157
PF investiga desvio de recursos públicos destinados ao custeio de centros de educação infantil e creches	158
Polícia Federal prende foragido da Justiça de Santa Catarina	159
PF remove líder de facção criminosa para presídio federal	160
PF prende suspeito de disseminação de pornografia infantil na internet	161
Publicado edital do concurso da Polícia Federal	162
PF , em ação conjunta com a PRF , apreendeu grande quantidade de cigarros no Litoral Sul Potiguar	163
PF prende por uso de documentos falsos	164
PF , em ação conjunta , deflagrou a Operação Festa Branca em Rondônia	165
PF desarticula grupo criminoso especializado em tráfico de drogas em Pernambuco	166
PF prende por saques de benefícios fraudulentos do INSS	167
PF deflagra mais uma fase da Operação Pesadelo no Espirito Santo	168
PF prende quatro pessoas por tráfico de drogas em Roraima	169
PF participa de visita a entidades estadunidenses responsáveis pelo combate ao tráfico de madeiras	170
PF apreende embarcação preparada para o transporte de ilícitos	171
OPERA O H RUS PF apreende aproximadamente 250 mil maços de cigarros contrabandeados no Paraná	172
PF deflagra operação Tantos no combate ao crime de compra de votos no Ceará	173
PF apreende uma tonelada de maconha no Paraná	174
PF cumpre mandado de prisão temporária de distribuidor de células falsas	175
Polícia Federal realiza extradição de cidadão paraguaio , com destino à cidade de Buenos Aires Argentina	176
Polícia Federal realiza primeira apreensão de cocaína do ano de 2021 no aeroporto internacional dos Guararapes	177
PF participa da Operação Concórdia para combater tráfico de drogas e armas no Rio Grande do Norte	178
PF apreende mais de uma tonelada de maconha	179
PF e BPFRON apreendem dois veículos carregados com cigarros paraguaios	180
PF e BPFRON apreendem carreta bi - trem carregada com cigarros contrabandeados	181
PF e BPFRON apreendem três veículos carregados com cigarros paraguaios	182
PF apreende droga despachada pelos Correios	183
PF prende foragido da Justiça em Redenção PA	184
PF prende passageiros com droga fixada ao corpo e dentro de embalagens de produtos	185
PF e BPFRON apreendem carregamento de cigarros contrabandeados em Terra Roxa PR	186
PF prende passageiro com droga oculta em fundo falso de mala	187
PF deflagra a Operação Hermano para apurar esquema de corrupção em Iracema RR	188
Polícia Federal combate crime de aquisição de moeda falsa em Alagoas	189
Policiais apreendem veículo carregado com eletrônicos em Foz do Iguaçu PR	190
Polícia Federal prende homem que adquiriu cédulas falsas em redes sociais	191
Polícia Federal e Marinha do Brasil realizam ações de cooperação internacional para interceptar embarcação carregada com cocaína	192
PF prende acusado de homicídio por meio de cooperação policial internacional	193
Polícia Federal combate o crime de descaminho no Rio Grande do Sul	194
Polícia Federal e BPFRON prendem motorista com caminhão carregado com cigarros paraguaios	195
Polícia Federal e Marinha do Brasil trazem até a costa de Pernambuco veleiro interceptado com drogas no mar territorial brasileiro	196
Operação Kambaí combate a prática de crimes ambientais em terra indígena	197
Polícia Federal apreende cerca de meia tonelada de cocaína em avião no aeroporto de Salvador BA	198
PF incinera 140 kg de droga em Cruzeiro do Sul	199
PF deflagra Operação Creeper para combater fraudes bancárias no Espírito Santo	200
PF prendeu homem que recebeu R 1 mil em cédulas falsas pelos Correios	201
Polícia Federal e SENAD reiniciam a Operação Nova Aliança para erradicar cultivos de Cannabis	202
PF deflagra Operação Reagente II para apurar desvios de recursos públicos destinados ao enfrentamento à COVID - 19 em Arraial PI e Isaías Coelho PI	203
PF investiga pessoa que atuava ilegalmente como psicólogo em Rondônia	204
Polícia Federal prende mulher com notas falsas	205
Polícia Federal cumpre mandados de busca e apreensão em Campo Grande MS	206
PF realiza transporte e incineração de mais de 9 mil quilos de drogas	207
PF combate tráfico internacional de drogas no Pará	208
Policiais federais e policiais civis apreendem maconha na região do Lago Itaipu em Entre Rios do Oeste PR	209
PF combate crime organizado na fronteira com a Guiana Francesa	210
PF e BPFRON apreende mais três caminhões carregados de cigarros contrabandeados em Guaíra PR	211
PF apreende cocaína dentro de embalagens de creme de cebolas e cumpre mandado de prisão em desfavor de ex - policial	212
PF apreende mais de cinco quilos de cocaína dentro de casacos e em revestimento de mala	213
PF combate o tráfico de drogas no Acre	214
PF combate disseminação de pornografia com conteúdo infantojuvenil	215
Polícia Federal deflagra , em Alagoas , mais uma fase de Operação Inocência Compartilhada 2	216
Polícia Federal deflagra Operação UFR GIO para investigar esquema de crimes eleitorais no Rio de Janeiro .	217
PF desmantela grupo criminoso especializado no contrabando de cigarros de origem paraguaia	218
Operação Quinta Coluna reprime célula criminosa envolvida com tráfico de drogas em aeronaves da FAB	219
PF em ação conjunta com a Receita apreende droga e petrechos para arma de fogo	220
PF resgata brasileiras vítimas de tráfico humano na Bolívia	221
Polícia Federal incinera mais de meia tonelada de drogas em Tabatinga	222
Polícia Federal deflagra Operação Ponto Final II	223
Polícia Federal prende homem com notas falsas	224
PF prende mulher em flagrante por tráfico de drogas	225
Polícia Federal incinera aproximadamente meia tonelada de drogas no Acre	226
Polícia Federal combate fraude em licenças minerais e ambientais	227
Polícia Federal deflagra Operação Fiscela para reprimir crimes contra a Previdência Social	228
Polícia Federal prende quatro pessoas em flagrante por descaminho em Foz do Iguaçu PR	229
PF e BPFRON apreendem veículos e cigarro contrabandeado	230
Polícia Federal e GEFRON AC realizaram apreensão de mais de R 60 mil	231
PF e BPFRON apreendem um veículo carregado com cigarros de origem paraguaia	232
Polícia Federal prende quatro pessoas por promoção de migração ilegal na fronteira com a Guiana .	233
Polícia Federal reprime invasão de terras no Amapá	234
Nota à imprensa	235
Polícia Federal combate crime de moeda falsa em Bagé RS	236
